'10021335437051', '10021335437051', '2999.00', 'Java', 9999, '佳沃（JAVA） 公路自行车鱼雷3代碟刹22变速弯把男女碳纤维前叉男女成人赛车 3代黑色18速青春 18速 47#建议162-173CM 700C', 1, 'https://img14.360buyimg.com/n7/jfs/t1/184599/40/29087/106340/64bce61cF877a781c/b8a43596cf2c052b.jpg'
'10022912289364', '10022912289364', '36.00', 'Java', 9999, 'Java基础入门 第3版 黑马程序员 清华大学出版社 Java语言程序设计教材计算机科学 经典Java编程入门教材 经典Java编程入门教材', 1, 'https://img12.360buyimg.com/n7/jfs/t1/31153/27/20291/122298/63ef1872Ff14dd087/7257f5afe47fed61.jpg'
'10023360214931', '10023360214931', '2999.00', 'Java', 9999, 'JAVA 公路自行车双碟刹碳纤维公路车18变速弯把男女款单车赛车鱼雷3 黑色青春标准版 18速 47#身高164-173CM 700C', 1, 'https://img10.360buyimg.com/n7/jfs/t1/140848/11/37671/106340/64bcec0bF3f200138/b856f496ad976b20.jpg'
'10024790028954', '10024790028954', '2499.00', 'Java', 9999, '佳沃JAVA公路车蓝图R3油压碟刹16速轻量航空铝合金自行车维洛克VELOCE 亮光银 【XS】建议身高156-162cm 【蓝图-R3油压碟刹】16速', 1, 'https://img11.360buyimg.com/n7/jfs/t1/222635/19/27622/61413/65026ae7F2eb1f4e4/0411ce400e08ec0d.jpg'
'10025053462714', '10025053462714', '2999.00', 'Java', 9999, '佳沃JAVA公路自行车铝合金公路车全油碟刹18变速弯把单车御夫座AURIGA 黑色 XS（身高:150-168CM） 18变速', 1, 'https://img10.360buyimg.com/n7/jfs/t1/221998/1/33141/56183/655c595dFb5ebe1e0/6468dfa6e29c2182.jpg'
'10025082639607', '10025082639607', '2999.00', 'Java', 9999, '佳沃JAVA/24款佳沃御夫座AURIGA桶轴公路车油压碟刹18变速竞赛自行车 黑色 M', 1, 'https://img12.360buyimg.com/n7/jfs/t1/216697/33/39541/74607/6636569fFb5b6065a/2a51cf98e51c91ad.jpg'
'10025108927792', '10025108927792', '2999.00', 'Java', 9999, '佳沃Java/佳沃AURIGA御夫座桶轴公路车油压碟刹18变速竞赛自行车 亮光黑 540【建议高于183】700C', 1, 'https://img10.360buyimg.com/n7/jfs/t1/234096/12/5456/68945/656f2ee6Fe4277ce6/42c958b8dd7ccce4.jpg'
'10025121237453', '10025121237453', '2999.00', 'Java', 9999, 'JAVA/佳沃AURIGA御夫座桶轴公路车油压碟刹18变速竞赛自行车 亮光黑【500】建议171-177cm', 1, 'https://img11.360buyimg.com/n7/jfs/t1/233305/35/6745/63791/6572be49Fb5ae8ed3/6a09fd02b0cbf4a7.jpg'
'10025174375630', '10025174375630', '3299.00', 'Java', 9999, '佳沃JAVA佳沃鱼雷6R5公路车18速油碟桶轴碳纤维前叉SILUR06 700C 灰色54码183-190cm', 1, 'https://img10.360buyimg.com/n7/jfs/t1/247042/22/163/53516/65841669Fd308c6db/fc94761cb0518bc8.jpg'
'10025196018597', '10025196018597', '2999.00', 'Java', 9999, 'JAVA佳沃公路车御夫座AURIGA铝合金18变速弯把全油碟刹单车自行车 钛色 500M（适合身高173-178cm）', 1, 'https://img12.360buyimg.com/n7/jfs/t1/238913/25/1328/41310/658d13f2Fd11da007/d71bdb0c882b7eca.jpg'
'10025219565749', '10025219565749', '2299.00', 'Java', 9999, 'JAVA佳沃维洛克3公路车2024铝合金16变速轻量弯把油压碟刹桶轴自行车 消光黑灰（24款', 1, 'https://img12.360buyimg.com/n7/jfs/t1/95914/9/47072/69909/65b865a8Fcdf3d5a6/60334855ff77d9b0.jpg'
